ID,State,Name,Category,Income,Qualification,Description,Type,Award Amount,Duration,Application Deadline,Eligibility Criteria
536,Karnataka,Leadership Medical Scholarship by Ambani Institute,OBC,1500000,Ph.D.,Leadership Medical Scholarship by Ambani Institute provides financial assistance to students in OBC category. The award amount is INR 149998 per year.,Government,INR 149998,4 years,21th June 2025,Applicant must have scored at least 84% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the all category. Applicants must be residents of Telangana.
537,Haryana,Research Economics Scholarship by Bharti Enterprises,General,750000,Medical,Research Economics Scholarship by Bharti Enterprises provides financial assistance to students in General category. The award amount is INR 15119 per year.,Corporate,INR 15119,2 years,27th August 2025,Applicant must have scored at least 63% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the OBC category. Applicants must be residents of Uttar Pradesh.
538,Gujarat,Research Literature Scholarship by Ambani Institute,all,250000,HSC,Research Literature Scholarship by Ambani Institute provides financial assistance to students in all category. The award amount is INR 114438 per year.,Corporate,INR 114438,2 years,18th July 2025,Applicant must have scored at least 81% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the EWS category. Applicants must be residents of Andhra Pradesh.
539,Andhra Pradesh,Innovation STEM Scholarship by Indian Government,all,250000,Diploma,Innovation STEM Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 104887 per year.,Corporate,INR 104887,1 years,29th August 2025,Applicant must have scored at least 52% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the EWS category. Applicants must be residents of Odisha.
540,Andhra Pradesh,Global Medical Scholarship by Ambani Institute,SEBC,500000,Engineering,Global Medical Scholarship by Ambani Institute provides financial assistance to students in SEBC category. The award amount is INR 55544 per year.,NGO,INR 55544,1 years,2th August 2025,Applicant must have scored at least 56% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the ST category. Applicants must be residents of Uttarakhand.
541,Uttar Pradesh,Youth Medical Scholarship by Tata Foundation,SEBC,750000,Ph.D.,Youth Medical Scholarship by Tata Foundation provides financial assistance to students in SEBC category. The award amount is INR 20775 per year.,NGO,INR 20775,2 years,12th June 2025,Applicant must have scored at least 57% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of Uttar Pradesh.
542,West Bengal,Diversity Agriculture Scholarship by Indian Science Society,SC,1000000,Medical,Diversity Agriculture Scholarship by Indian Science Society provides financial assistance to students in SC category. The award amount is INR 65994 per year.,Corporate,INR 65994,2 years,5th June 2025,Applicant must have scored at least 75% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Uttar Pradesh.
543,Assam,Innovation Economics Scholarship by Tata Foundation,SC,500000,Medical,Innovation Economics Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 141977 per year.,Private,INR 141977,1 years,24th June 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the EWS category. Applicants must be residents of Telangana.
544,Maharashtra,Development Law Scholarship by JNU Research,ST,0,Medical,Development Law Scholarship by JNU Research provides financial assistance to students in ST category. The award amount is INR 47278 per year.,NGO,INR 47278,2 years,3th June 2025,Applicant must have scored at least 88% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the EWS category. Applicants must be residents of Bihar.
545,Madhya Pradesh,Empowerment Law Scholarship by Indian Science Society,SEBC,250000,Engineering,Empowerment Law Scholarship by Indian Science Society provides financial assistance to students in SEBC category. The award amount is INR 100678 per year.,International,INR 100678,1 years,8th July 2025,Applicant must have scored at least 84% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the General category. Applicants must be residents of Rajasthan.
546,Uttar Pradesh,Sustainability Medical Scholarship by Indian Education Trust,ST,750000,Diploma,Sustainability Medical Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 89401 per year.,Corporate,INR 89401,2 years,11th August 2025,Applicant must have scored at least 87% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the EWS category. Applicants must be residents of Uttar Pradesh.
